file,original pragma version,compiled version,notes
RouterERC20UpgradableOld.sol,0.8.2,0.8.2,
IERCHandlerDecimals_1.sol,0.8.2,0.8.2,
iRouterCrossTalk_1.sol,^0.8.0,0.8.0,
StringsUpgradeable_14.sol,^0.8.0,0.8.0,
ERC165Upgradeable_13.sol,^0.8.0,0.8.0,
ERC2771ContextUpgradeable.sol,^0.8.0,0.8.0,
IERC165Upgradeable_17.sol,^0.8.0,0.8.0,
ContextUpgradeable_15.sol,^0.8.0,0.8.0,
IBeaconUpgradeable_7.sol,^0.8.0,0.8.0,
ContextUpgradeable_14.sol,^0.8.0,0.8.0,
IBeaconUpgradeable_6.sol,^0.8.0,0.8.0,
IERC165Upgradeable_16.sol,^0.8.0,0.8.0,
ERC165Upgradeable_12.sol,^0.8.0,0.8.0,
ILiquidityPool.sol,>=0.8.2,0.8.2,
StringsUpgradeable_15.sol,^0.8.0,0.8.0,
HandlerHelpersUpgradeable.sol,>=0.8.2,0.8.2,
IERCHandlerDecimals_4.sol,0.8.2,0.8.2,
UUPSUpgradeable_8.sol,^0.8.0,0.8.0,
ERC1967Proxy.sol,^0.8.0,0.8.0,
SafeMathUpgradeable_3.sol,^0.8.0,0.8.0,
IUniswapFactory.sol,^0.8.0,0.8.0,
ERC20Upgradeable_1.sol,^0.8.0,0.8.0,
StringsUpgradeable_11.sol,^0.8.0,0.8.0,
ERC165Upgradeable_16.sol,^0.8.0,0.8.0,
iGBridge_1.sol,0.8.2,0.8.2,
IERCHandlerDecimals.sol,0.8.2,0.8.2,
IAccessControlUpgradeable_18.sol,^0.8.0,0.8.0,
IERCHandler.sol,0.8.2,0.8.2,
IERC165Upgradeable_12.sol,^0.8.0,0.8.0,
IBeaconUpgradeable_2.sol,^0.8.0,0.8.0,
ContextUpgradeable_10.sol,^0.8.0,0.8.0,
IBeaconUpgradeable_3.sol,^0.8.0,0.8.0,
ContextUpgradeable_11.sol,^0.8.0,0.8.0,
IERC165Upgradeable_13.sol,^0.8.0,0.8.0,
IUniswapV2Factory.sol,^0.8.0,0.8.0,
ERC165Upgradeable_17.sol,^0.8.0,0.8.0,
SafeMathUpgradeable.sol,^0.8.0,0.8.0,
StringsUpgradeable_10.sol,^0.8.0,0.8.0,
SafeMathUpgradeable_2.sol,^0.8.0,0.8.0,
IUsdcDepositAndBurn.sol,^0.8.2,0.8.2,
IAugustusSwapper.sol,^0.8.0,0.8.0,
UUPSUpgradeable_9.sol,^0.8.0,0.8.0,
IERCHandlerDecimals_5.sol,0.8.2,0.8.2,
iRouterCrossTalk.sol,^0.8.0,0.8.0,
BridgeUpgradeable.sol,0.8.2,0.8.2,
UUPSUpgradeable_11.sol,^0.8.0,0.8.0,
ERC20Upgradeable_2.sol,^0.8.0,0.8.0,
StringsUpgradeable_12.sol,^0.8.0,0.8.0,
ERC165Upgradeable_15.sol,^0.8.0,0.8.0,
iGBridge_2.sol,0.8.2,0.8.2,
IERC165Upgradeable_11.sol,^0.8.0,0.8.0,
IERC20Upgradeable_9.sol,0.8.2,0.8.2,
ContextUpgradeable_13.sol,^0.8.0,0.8.0,
IBeaconUpgradeable_1.sol,^0.8.0,0.8.0,
AddressUpgradeable_9.sol,^0.8.0,0.8.0,
AddressUpgradeable_8.sol,^0.8.0,0.8.0,
