tool,bridge,vulnerability_type,file,contract,function,type,notes
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_2.sol,,burn(uint256),TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwap.sol,,burn(uint256),TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_1.sol,,burn(uint256),TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils.sol,,burn(uint256),TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils.sol,,burn(uint256),TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken.sol,,burn(uint256),TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,AmplificationUtils.sol,,burn(uint256),TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils-label.sol,,burn(uint256),TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils-label.sol,,burn(uint256),TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,Swap.sol,,burn(uint256),TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils_1.sol,,"burnFrom(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_2.sol,,"burnFrom(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwap.sol,,"burnFrom(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_1.sol,,"burnFrom(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils.sol,,"burnFrom(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils.sol,,"burnFrom(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken.sol,,"burnFrom(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,AmplificationUtils.sol,,"burnFrom(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils-label.sol,,"burnFrom(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils-label.sol,,"burnFrom(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,Swap.sol,,"burnFrom(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils_1.sol,,"decreaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_2.sol,,"decreaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwap.sol,,"decreaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_1.sol,,"decreaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils.sol,,"decreaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils.sol,,"decreaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken.sol,,"decreaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,AmplificationUtils.sol,,"decreaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils-label.sol,,"decreaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils-label.sol,,"decreaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,Swap.sol,,"decreaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils_1.sol,,"increaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_2.sol,,"increaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwap.sol,,"increaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_1.sol,,"increaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils.sol,,"increaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils.sol,,"increaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken.sol,,"increaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,AmplificationUtils.sol,,"increaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils-label.sol,,"increaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils-label.sol,,"increaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,Swap.sol,,"increaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwap.sol,,"initializeMetaSwap(address[],uint8[],string,string,uint256,uint256,uint256,uint256,uint256,address,address)",TP,unchecked function arguments
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils_1.sol,,"mint(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_2.sol,,"mint(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwap.sol,,"mint(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_1.sol,,"mint(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils.sol,,"mint(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils.sol,,"mint(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken.sol,,"mint(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,AmplificationUtils.sol,,"mint(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils-label.sol,,"mint(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils-label.sol,,"mint(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,Swap.sol,,"mint(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils_1.sol,,"transfer(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_2.sol,,"transfer(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwap.sol,,"transfer(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_1.sol,,"transfer(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils.sol,,"transfer(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils.sol,,"transfer(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken.sol,,"transfer(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,AmplificationUtils.sol,,"transfer(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils-label.sol,,"transfer(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils-label.sol,,"transfer(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,Swap.sol,,"transfer(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils_1.sol,,"transferFrom(address,address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_2.sol,,"transferFrom(address,address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwap.sol,,"transferFrom(address,address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_1.sol,,"transferFrom(address,address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils.sol,,"transferFrom(address,address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils.sol,,"transferFrom(address,address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken.sol,,"transferFrom(address,address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,AmplificationUtils.sol,,"transferFrom(address,address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils-label.sol,,"transferFrom(address,address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils-label.sol,,"transferFrom(address,address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,Swap.sol,,"transferFrom(address,address,uint256)",TP,unchecked `amount`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,Steroids.sol,,adjustBalanceOf(address),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,Steroids.sol,,adjustBalanceOfMany(address[]),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_1.sol,,changeBufferBlocks(uint64),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_2.sol,,changeBufferBlocks(uint64),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_1.sol,,changeExecutionDelayBlocks(uint64),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_2.sol,,changeExecutionDelayBlocks(uint64),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,Steroids.sol,,changeMaxAllowedStakeLocks(uint64),FP,
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_1.sol,,changeMinAcceptQuorumPct(uint64),FP,
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_2.sol,,changeMinAcceptQuorumPct(uint64),FP,
xEVMLiSA,pNetwork20210920,access_control_incompleteness,Steroids.sol,,changeMinLockTime(uint64),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_1.sol,,changeMinOpenVoteAmount(uint256),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_2.sol,,changeMinOpenVoteAmount(uint256),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_1.sol,,changeSupportRequiredPct(uint64),FP,
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_2.sol,,changeSupportRequiredPct(uint64),FP,
xEVMLiSA,pNetwork20210920,access_control_incompleteness,Steroids.sol,,changeVaultContractAddress(address),FP,
xEVMLiSA,pNetwork20210920,access_control_incompleteness,EVMScriptRegistryFactory.sol,,"createBurnedPermission(address,bytes32)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,DAOFactory.sol,,"createBurnedPermission(address,bytes32)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,Imports.sol,,"createBurnedPermission(address,bytes32)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistryFactory_1.sol,,"createBurnedPermission(address,bytes32)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistry.sol,,"createBurnedPermission(address,bytes32)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,ACL.sol,,"createBurnedPermission(address,bytes32)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistry_1.sol,,"createBurnedPermission(address,bytes32)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistryFactory.sol,,"createBurnedPermission(address,bytes32)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,TestImports.sol,,"createBurnedPermission(address,bytes32)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,TokenManager.sol,,"createCloneToken(address,uint256,string,uint8,string,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingRewards.sol,,"createCloneToken(address,uint256,string,uint8,string,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,DandelionVoting.sol,,"createCloneToken(address,uint256,string,uint8,string,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,MiniMeToken_2.sol,,"createCloneToken(address,uint256,string,uint8,string,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_1.sol,,"createCloneToken(address,uint256,string,uint8,string,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,MiniMeToken.sol,,"createCloneToken(address,uint256,string,uint8,string,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,StakingManager.sol,,"createCloneToken(address,uint256,string,uint8,string,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_2.sol,,"createCloneToken(address,uint256,string,uint8,string,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,Steroids.sol,,"createCloneToken(address,uint256,string,uint8,string,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock.sol,,"createCloneToken(address,uint256,string,uint8,string,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,MiniMeToken_1.sol,,"createCloneToken(address,uint256,string,uint8,string,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,TokenManager.sol,,"createCloneToken(string,uint8,string,uint256,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingRewards.sol,,"createCloneToken(string,uint8,string,uint256,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,DandelionVoting.sol,,"createCloneToken(string,uint8,string,uint256,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,MiniMeToken_2.sol,,"createCloneToken(string,uint8,string,uint256,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_1.sol,,"createCloneToken(string,uint8,string,uint256,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,MiniMeToken.sol,,"createCloneToken(string,uint8,string,uint256,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,StakingManager.sol,,"createCloneToken(string,uint8,string,uint256,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_2.sol,,"createCloneToken(string,uint8,string,uint256,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,Steroids.sol,,"createCloneToken(string,uint8,string,uint256,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock.sol,,"createCloneToken(string,uint8,string,uint256,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,MiniMeToken_1.sol,,"createCloneToken(string,uint8,string,uint256,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,EVMScriptRegistryFactory.sol,,"createPermission(address,address,bytes32,address)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,DAOFactory.sol,,"createPermission(address,address,bytes32,address)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,Imports.sol,,"createPermission(address,address,bytes32,address)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistryFactory_1.sol,,"createPermission(address,address,bytes32,address)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistry.sol,,"createPermission(address,address,bytes32,address)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,ACL.sol,,"createPermission(address,address,bytes32,address)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistry_1.sol,,"createPermission(address,address,bytes32,address)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistryFactory.sol,,"createPermission(address,address,bytes32,address)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,TestImports.sol,,"createPermission(address,address,bytes32,address)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_1.sol,,forward(bytes),TP,"it calls `_newVote`, unchecked function arguments"
