Smart Contract, Total Opcodes, Total Jumps, Solved Jumps, Definitely unreachable jumps, Maybe unreachable jumps, Total solved Jumps, Unsound jumps, Maybe unsound jumps, % Total Solved, Time (millis), Notes 
0x6d4fe830363c6af29147422fae4bc38e89b90af7, 1366, 96, 95, 1, 0, 96, 0, 0, 1.0, 18605, ss: 17 sss: 32 
0x4c5e43fa403eda7aa1496d9e6ebe60a23ceadbff, 2312, 188, 176, 12, 0, 188, 0, 0, 1.0, 14500, ss: 17 sss: 32 
0x98f98254a276f5c15d1d21f583e9bf67bb6af9c2, 1236, 93, 91, 2, 0, 93, 0, 0, 1.0, 5462, ss: 17 sss: 32 
0xbe01Af16910183a72c332681FE239a91999aD670, 600, 38, 37, 1, 0, 38, 0, 0, 1.0, 2753, ss: 17 sss: 32 
0x118492053f229e52da35c4095e255b6a245c2e34, 2843, 262, 231, 31, 0, 262, 0, 0, 1.0, 13907, ss: 17 sss: 32 
0xa061a03671a12f8e65d088bb289deb9f70511cc5, 1529, 108, 104, 4, 0, 108, 0, 0, 1.0, 5021, ss: 17 sss: 32 
0x527cceba71b243f9c44f87ec0f236273313b285d, 1517, 108, 104, 4, 0, 108, 0, 0, 1.0, 5031, ss: 17 sss: 32 
0xb3bb1d731936bf83f725fce272a6d357071999fe, 1520, 107, 104, 3, 0, 107, 0, 0, 1.0, 5867, ss: 17 sss: 32 
0x9199235ef044527f1eff1e4d9ba5c16243c9dfb9, 1511, 107, 104, 3, 0, 107, 0, 0, 1.0, 6294, ss: 17 sss: 32 
0xAE2C3256064e79D6D15DcDc505953ABaE46b23A7, 1834, 134, 132, 2, 0, 134, 0, 0, 1.0, 16063, ss: 17 sss: 32 
0xf476b7fd0002487ee1ab4f44eea1b81b93dabcf0, 1520, 107, 104, 3, 0, 107, 0, 0, 1.0, 5827, ss: 17 sss: 32 
0xc3a9f3fac246701b0f620ddea6078a0b623fb3a0, 1530, 107, 104, 3, 0, 107, 0, 0, 1.0, 4641, ss: 17 sss: 32 
0xb1f13EB56d14f0762E35c4138d002E97a1F7Ffc1, 2389, 225, 198, 27, 0, 225, 0, 0, 1.0, 11935, ss: 17 sss: 32 
0x88f1e52196011ed40694360cf1c82fcb7450b26f, 1508, 107, 104, 3, 0, 107, 0, 0, 1.0, 5275, ss: 17 sss: 32 
0x5f349cf5e1ad4858fcea0f21f2ea8aff4e679eaa, 1130, 95, 93, 2, 0, 95, 0, 0, 1.0, 21179, ss: 17 sss: 32 
0x979c449d77bb27c60d1df21616514a242d89f087, 1506, 107, 104, 3, 0, 107, 0, 0, 1.0, 4617, ss: 17 sss: 32 
0x6e42d3ed56413e5737129be488884d8e6b81ba2d, 1499, 116, 114, 2, 0, 116, 0, 0, 1.0, 11993, ss: 17 sss: 32 
0x39be7ba92f5857256dbb9873c200e41d44ab3a27, 1511, 107, 104, 3, 0, 107, 0, 0, 1.0, 4749, ss: 17 sss: 32 
0xf56e52d126db022b0fe83454ce53cb6a794047ac, 1360, 96, 95, 1, 0, 96, 0, 0, 1.0, 13982, ss: 17 sss: 32 
0x25bb3d2f8db0776e68beb2b2ede7d6b229f374b7, 1602, 110, 109, 1, 0, 110, 0, 0, 1.0, 20218, ss: 17 sss: 32 
0xAd54248e5D60b038D64e0571AAA4BfF64087A40d, 2466, 178, 171, 7, 0, 178, 0, 0, 1.0, 10418, ss: 17 sss: 32 
0x24c3a5d950aa0078dc8e4d5ec581d03c6681c7ca, 1512, 107, 104, 3, 0, 107, 0, 0, 1.0, 4177, ss: 17 sss: 32 
0xa0816848d1c31b86a00a508e080dfcd2834e5c40, 1341, 94, 92, 2, 0, 94, 0, 0, 1.0, 13911, ss: 17 sss: 32 
0xcedfdc2b58ac6a5bb8c8dbd535d284180c22a04b, 1816, 131, 129, 2, 0, 131, 0, 0, 1.0, 15818, ss: 17 sss: 32 
0x48b3fd97730063f317b4d03a092dcaf8f49e8f70, 1824, 89, 88, 1, 0, 89, 0, 0, 1.0, 4362, ss: 17 sss: 32 
0xF693e9aa1F99e8A33F947D9E3b3E1C20313D1B9d, 2375, 220, 176, 44, 0, 220, 0, 0, 1.0, 12995, ss: 17 sss: 32 
