Smart Contract, Total Opcodes, Total Jumps, Solved Jumps, Definitely unreachable jumps, Maybe unreachable jumps, Total solved Jumps, Unsound jumps, Maybe unsound jumps, % Total Solved, Time (millis), Notes 
0x18514595840ab87c13463708799aa8a973e565f9, 1519, 107, 104, 0, 3, 107, 0, 0, 1.0, 2906, ss: 17 sss: 32 
0x176132d5e846b381103b66f0f00db24be3db2fff, 1641, 114, 112, 1, 1, 114, 0, 0, 1.0, 7391, ss: 17 sss: 32 
0x26172d08f9c6637dc0fc87b9661a2d394f560d57, 1522, 115, 113, 1, 1, 115, 0, 0, 1.0, 8749, ss: 17 sss: 32 
0x0f06ab9c16dbc88afd77dc9cfc95fc012dca36d7, 2152, 197, 175, 1, 21, 197, 0, 0, 1.0, 7144, ss: 17 sss: 32 
0x97551410e4965c5fc9e6475a38e9007c2fb0e5c1, 1526, 107, 104, 0, 3, 107, 0, 0, 1.0, 2551, ss: 17 sss: 32 
0x9531695Be421C2A3B11D4eC926edF813498021fE, 2863, 220, 194, 2, 21, 217, 3, 0, 0.9863636363636363, 6535, ss: 17 sss: 32 
0x2346cbcba632847b9786f153cacc4f307508a78b, 1508, 107, 104, 0, 3, 107, 0, 0, 1.0, 7604, ss: 17 sss: 32 
0x77278b34008E1E1f250634068666c4bdA3f22e06, 2840, 245, 205, 1, 39, 245, 0, 0, 1.0, 10661, ss: 17 sss: 32 
0x2c25d88e6dea171a32d15893e975409046c806b7, 1014, 84, 81, 3, 0, 84, 0, 0, 1.0, 8030, ss: 17 sss: 32 
0xd20028505d153227936a588d11846b07f53e7ec7, 1356, 96, 95, 0, 1, 96, 0, 0, 1.0, 16509, ss: 17 sss: 32 
0x0000000000004250039d1cf730bdd00b31942d18, 1481, 95, 93, 2, 0, 95, 0, 0, 1.0, 3256, ss: 17 sss: 32 
0x6617f50bd993f86045cfdf99e579bf9d7225125f, 1488, 103, 100, 0, 3, 103, 0, 0, 1.0, 4836, ss: 17 sss: 32 
0xa9eb5c18e4f2ae4a5a5130d5356abc44cf55004d, 2776, 216, 194, 2, 20, 216, 0, 0, 1.0, 9267, ss: 17 sss: 32 
0x6ca23e5b934f8fd069edb1e2690ccece50069752, 1508, 107, 104, 0, 3, 107, 0, 0, 1.0, 4195, ss: 17 sss: 32 
0x80bfb44a35df959334c3fe483ce67d9fd7af603e, 1509, 107, 104, 0, 3, 107, 0, 0, 1.0, 4230, ss: 17 sss: 32 
0xb1ab9165d4e6ac613f3c1f880ee9fb4c3aaf90fe, 2807, 195, 187, 8, 0, 195, 0, 0, 1.0, 21469, ss: 17 sss: 32 
0x1edc5c6a361d9c4b5656a4f4a60ec8515aed4998, 1792, 140, 139, 0, 1, 140, 0, 0, 1.0, 18179, ss: 17 sss: 32 
0xaee45d771e173506456e20fbdec12de9afdd593f, 1609, 110, 109, 1, 0, 110, 0, 0, 1.0, 12458, ss: 17 sss: 32 
0x03ecf73968d146a24e51c2ac5f79389ad5801e64, 1506, 110, 109, 1, 0, 110, 0, 0, 1.0, 10774, ss: 17 sss: 32 
0x173309760E2A703808bCde2f9bf07C92EC10bbc2, 2397, 225, 195, 2, 28, 225, 0, 0, 1.0, 3619, ss: 17 sss: 32 
0x2696eF8a208Ec4c8f5500df2a80594F8dAaed253, 2873, 248, 212, 1, 35, 248, 0, 0, 1.0, 12966, ss: 17 sss: 32 
0x2715770bd7b23165bc9ee82c4c865c73ad2f21b5, 2832, 198, 189, 9, 0, 198, 0, 0, 1.0, 21602, ss: 17 sss: 32 
0x3683dcf66e649a3566fd15e546d139b72005df54, 1635, 113, 112, 0, 1, 113, 0, 0, 1.0, 9658, ss: 17 sss: 32 
0xD6Cc86679374D09CAF3Bd86817e7f6dC503AF513, 2952, 275, 235, 1, 39, 275, 0, 0, 1.0, 24715, ss: 17 sss: 32 
0xcd41e74c897271d765bbc1167138796e52786b65, 1644, 114, 111, 0, 3, 114, 0, 0, 1.0, 4049, ss: 17 sss: 32 
0x4a487fe7f26a9ff521797c13cc2238c8d7cfc1b8, 1578, 107, 106, 1, 0, 107, 0, 0, 1.0, 9240, ss: 17 sss: 32 
0x6c8804f4ef30fcc9e54eb217dcbf1d687b32ce28, 2924, 263, 220, 2, 41, 263, 0, 0, 1.0, 9128, ss: 17 sss: 32 
0x10350ac44c0d3f6c4abd55d32409ac31d4bd5087, 1893, 147, 146, 1, 0, 147, 0, 0, 1.0, 8440, ss: 17 sss: 32 
0x8f441d5880361fff1da43f4909b5b4ebf5dec99a, 1020, 84, 81, 3, 0, 84, 0, 0, 1.0, 4007, ss: 17 sss: 32 
0xf649a1733b46cfdaaaeced8f046fa0782b66e5d8, 1932, 173, 149, 1, 23, 173, 0, 0, 1.0, 6841, ss: 17 sss: 32 
0x8142709896850e5532983f25a26e36dcc3eab5fc, 697, 69, 68, 1, 0, 69, 0, 0, 1.0, 245, ss: 17 sss: 32 
0x1a74f17872759397b673d7b5fc083eb6a7f496a8, 1531, 107, 104, 0, 3, 107, 0, 0, 1.0, 3062, ss: 17 sss: 32 
0xaf4c6752feff6572615445ae4d2335abde418df1, 1614, 110, 109, 1, 0, 110, 0, 0, 1.0, 6887, ss: 17 sss: 32 
0xa8ba8d813b8a952cdc87e27480e8645c36e3e671, 2362, 173, 172, 1, 0, 173, 0, 0, 1.0, 15686, ss: 17 sss: 32 
0xa8a8ad82b240ed8f03589e3abf3bf16cec963cce, 1519, 107, 104, 0, 3, 107, 0, 0, 1.0, 3904, ss: 17 sss: 32 
0x47d08cdaf71ea75c9673fbdf99d87ecb381f4ce8, 1516, 107, 104, 0, 3, 107, 0, 0, 1.0, 4267, ss: 17 sss: 32 
0xae91722e3a29aae5c05c39b51f1ff07e2b57dbb2, 2538, 196, 162, 1, 33, 196, 0, 0, 1.0, 4718, ss: 17 sss: 32 
0xaFE3C34D9fF9AAFEfD237323E1cde4d5eEE99cC5, 1828, 89, 88, 1, 0, 89, 0, 0, 1.0, 2093, ss: 17 sss: 32 
0xc11b651498a30cd35d1c0590379891bd16ef12f7, 1524, 107, 104, 0, 3, 107, 0, 0, 1.0, 2479, ss: 17 sss: 32 
0x3205809e0340f49b1adb6b1b7bfed21400c8b59d, 999, 100, 94, 1, 5, 100, 0, 0, 1.0, 13963, ss: 17 sss: 32 
0xa40c7e2885af5b105c8ba139c74ee4fb8267fb42, 2632, 182, 176, 0, 6, 182, 0, 0, 1.0, 17238, ss: 17 sss: 32 
0x1da6121d4442150fbf2e9f6412fe3bd56cbae563, 2446, 217, 213, 0, 4, 217, 0, 0, 1.0, 21169, ss: 17 sss: 32 
0xed3fe3dd55fe266400151404c0cea8d0beeda750, 1429, 100, 99, 0, 1, 100, 0, 0, 1.0, 5656, ss: 17 sss: 32 
0xce6f6d4897b85c4977052fcfa7d48657850415e3, 1498, 110, 109, 1, 0, 110, 0, 0, 1.0, 7892, ss: 17 sss: 32 
0x23f8dec716699941bade7a3751dcb21000b29d39, 1817, 89, 88, 1, 0, 89, 0, 0, 1.0, 1332, ss: 17 sss: 32 
0x29e3cd942a4e1a39c40e98ce528c010b40375b87, 1639, 114, 112, 1, 1, 114, 0, 0, 1.0, 9653, ss: 17 sss: 32 
0x5e01132ef457a08263c760f7c334428a4a5b5602, 1661, 116, 114, 0, 2, 116, 0, 0, 1.0, 5085, ss: 17 sss: 32 
0xecaebdf3c6f3ac7f28265226d5f5e1b788f19e02, 2507, 173, 168, 1, 4, 173, 0, 0, 1.0, 17770, ss: 17 sss: 32 
0x37d037f8fc5d822eb8921739438048e19b7e7151, 2114, 155, 154, 1, 0, 155, 0, 0, 1.0, 18921, ss: 17 sss: 32 
0xACA40632C51C2a03209D2714b88Aa0f1456A2101, 2709, 189, 179, 2, 8, 189, 0, 0, 1.0, 18938, ss: 17 sss: 32 
0x3772c33fede7d7cd5fb587a96707736a38651d2a, 2939, 273, 229, 1, 43, 273, 0, 0, 1.0, 23795, ss: 17 sss: 32 
0x769f6f368cc9949d29065da366fb86dbe9024367, 1594, 107, 106, 1, 0, 107, 0, 0, 1.0, 10819, ss: 17 sss: 32 
0x357d13A7B8d6127BF29C3aCA74b61CAb26Dbcd31, 2833, 245, 205, 1, 39, 245, 0, 0, 1.0, 5201, ss: 17 sss: 32 
0xf7a9affda0aba42d9e625d8a119bf4f15d1921f7, 453, 38, 38, 0, 0, 38, 0, 0, 1.0, 122, ss: 17 sss: 32 
0x726Fbe4904E47D6d24AC01FeF435dF98d36440A0, 1334, 88, 86, 0, 2, 88, 0, 0, 1.0, 6426, ss: 17 sss: 32 
0x28e762c8f9e897e15534665046b10304eeef2619, 2439, 179, 178, 0, 1, 179, 0, 0, 1.0, 19228, ss: 17 sss: 32 
0x8133abdEA78663357f1b8FAA5fDf9b267AF13a5E, 2777, 245, 202, 1, 42, 245, 0, 0, 1.0, 10224, ss: 17 sss: 32 
0xd3a8cdf3f6bc817e97b61a5fa00e7c74f2edc138, 1528, 107, 104, 0, 3, 107, 0, 0, 1.0, 3159, ss: 17 sss: 32 
0xcc5638ed6a722738321d68af499b9297ff50fca0, 2301, 220, 196, 2, 22, 220, 0, 0, 1.0, 10266, ss: 17 sss: 32 
0x226e6dc5a9c8186d44c7470a1c3d9f185afa3038, 1510, 107, 104, 0, 3, 107, 0, 0, 1.0, 2622, ss: 17 sss: 32 
