bridge,file,function,notes
pNetwork20210920,MiniMeToken.sol,"createCloneToken(string,uint8,string,uint256,bool)",unchecked function arguments
pNetwork20210920,StakingManager.sol,"createCloneToken(string,uint8,string,uint256,bool)",unchecked function arguments
pNetwork20210920,VotingMock_2.sol,"createCloneToken(string,uint8,string,uint256,bool)",unchecked function arguments
pNetwork20210920,Steroids.sol,"createCloneToken(string,uint8,string,uint256,bool)",unchecked function arguments
pNetwork20210920,VotingMock.sol,"createCloneToken(string,uint8,string,uint256,bool)",unchecked function arguments
pNetwork20210920,MiniMeToken_1.sol,"createCloneToken(string,uint8,string,uint256,bool)",unchecked function arguments
pNetwork20210920,EVMScriptRegistryFactory.sol,"createPermission(address,address,bytes32,address)",unchecked function arguments
pNetwork20210920,DAOFactory.sol,"createPermission(address,address,bytes32,address)",unchecked function arguments
pNetwork20210920,Imports.sol,"createPermission(address,address,bytes32,address)",unchecked function arguments
pNetwork20210920,APMRegistryFactory_1.sol,"createPermission(address,address,bytes32,address)",unchecked function arguments
pNetwork20210920,APMRegistry.sol,"createPermission(address,address,bytes32,address)",unchecked function arguments
pNetwork20210920,ACL.sol,"createPermission(address,address,bytes32,address)",unchecked function arguments
pNetwork20210920,APMRegistry_1.sol,"createPermission(address,address,bytes32,address)",unchecked function arguments
pNetwork20210920,APMRegistryFactory.sol,"createPermission(address,address,bytes32,address)",unchecked function arguments
pNetwork20210920,TestImports.sol,"createPermission(address,address,bytes32,address)",unchecked function arguments
pNetwork20210920,VotingMock_1.sol,forward(bytes),"it calls `_newVote`, unchecked function arguments"
pNetwork20210920,VotingMock_2.sol,forward(bytes),"it calls `_newVote`, unchecked function arguments"
pNetwork20210920,VotingMock.sol,mockDecreaseTime(uint256),unchecked function arguments
pNetwork20210920,TimeHelpersMock.sol,mockDecreaseTime(uint256),unchecked function arguments
pNetwork20210920,VotingMock.sol,mockSetTimestamp(uint256),unchecked function arguments
pNetwork20210920,TimeHelpersMock.sol,mockSetTimestamp(uint256),unchecked function arguments
pNetwork20210920,APMRegistryFactory_1.sol,"newAPM(bytes32,bytes32,address)",unchecked `_root`
pNetwork20210920,APMRegistryFactory.sol,"newAPM(bytes32,bytes32,address)",unchecked `_root`
pNetwork20210920,APMRegistryFactory_1.sol,newDAO(address),unchecked `_root`
pNetwork20210920,Imports.sol,newDAO(address),unchecked `_root`
pNetwork20210920,APMRegistryFactory.sol,newDAO(address),unchecked `_root`
pNetwork20210920,DAOFactory.sol,newDAO(address),unchecked `_root`
pNetwork20210920,TestImports.sol,newDAO(address),unchecked `_root`
pNetwork20210920,APMRegistryFactory_1.sol,newENS(address),unchecked `_owner`
